"sdr_method","cov_method","n_success","mean_selected_d","median_selected_d","sd_selected_d","mean_RMSE","sd_RMSE","mean_MAE","sd_MAE","mean_MAPE","mean_R2","mean_Adjusted_R2","mean_Correlation"
"SIR","RIDGE",10,19.2,20,1.32,1.5735,0.0727,1.2487,0.0558,2.9806,0.9778,0.9504,0.9895
"SIR","OAS",10,19.1,20,1.52,1.6142,0.1025,1.2873,0.0834,3.0815,0.977,0.9491,0.9892
"SIR","LW",10,18.6,20,2.8,1.6524,0.0961,1.3024,0.0837,3.099,0.9756,0.9466,0.9884
"DR","RIDGE",10,19,20,1.7,1.6869,0.1154,1.3362,0.1085,3.2092,0.974,0.9429,0.9876
"DR","OAS",10,19.4,20,1.35,1.7744,0.1304,1.4052,0.1236,3.3785,0.9712,0.935,0.9863
"DR","LW",10,19.5,20,1.27,1.8044,0.1361,1.4291,0.1299,3.4353,0.9701,0.9321,0.9858
"SIR","SAMPLE",10,18,19.5,3.65,2.4455,0.2316,1.9497,0.1844,4.62,0.9457,0.8842,0.9752
"SIR","MEC",10,19.3,20,1.34,2.7551,0.3328,2.1872,0.2545,5.1868,0.9292,0.8416,0.9669
"DR","SAMPLE",10,19.8,20,0.63,2.7941,0.2798,2.2447,0.2321,5.3374,0.9271,0.8313,0.9655
"DR","MEC",10,19.5,20,0.71,3.0866,0.4362,2.4344,0.3263,5.7732,0.9127,0.8031,0.9589
"PHD","RIDGE",10,19.6,20,0.97,5.6242,0.4082,4.4065,0.2996,10.5721,0.7227,0.3679,0.8607
"PHD","OAS",10,19.7,20,0.67,5.9625,0.4088,4.6964,0.2912,11.2826,0.6875,0.2837,0.8417
"PHD","LW",10,19.8,20,0.42,6.0872,0.4219,4.7988,0.3049,11.5313,0.6752,0.251,0.835
"PHD","MEC",10,18.6,20,2.37,8.269,0.4388,6.7032,0.3918,16.2578,0.4036,-0.2878,0.692
"PHD","SAMPLE",10,19.1,19.5,1.1,8.4594,0.3962,6.8041,0.3104,16.7006,0.3745,-0.3801,0.666
"SAVE","RIDGE",10,15.3,17,5.87,11.0859,0.0995,8.978,0.0737,21.5841,-0.0167,-0.9208,0.168
"SAVE","OAS",10,13.8,15,6.2,11.1091,0.1016,9.0004,0.0709,21.6428,-0.0206,-0.8044,0.1566
"SAVE","LW",10,15.2,17,5.81,11.1178,0.1005,9.01,0.0678,21.6618,-0.0223,-0.9206,0.149
"SAVE","MEC",10,9.8,8.5,6.63,11.1584,0.1361,9.0165,0.1006,21.6495,-0.03,-0.5258,0.1417
"SAVE","SAMPLE",10,9.4,8.5,6.85,11.1609,0.1112,9.0141,0.0839,21.6525,-0.0298,-0.5177,0.1355
