"sdr_method","cov_method","status","error_message","selected_d","condition_number","effective_rank","RMSE","MAE","MAPE","R2","Adjusted_R2","Correlation","runtime_seconds"
"SIR","SAMPLE","success",NA,2,20510000,70,2.2786,1.8097,3.9621,0.9602,0.9597,0.9831,0.0452
"SIR","RIDGE","success",NA,6,185.6,70,1.2978,1.0687,2.4238,0.9871,0.9866,0.994,0.0877
"SIR","OAS","success",NA,9,321.6,70,1.255,1.021,2.2731,0.9879,0.9873,0.9942,0.0495
"SIR","LW","success",NA,2,361,70,1.4076,1.1317,2.569,0.9848,0.9846,0.9925,0.0883
"SIR","MEC","success",NA,2,10880000,70,3.4344,2.7424,6.0189,0.9096,0.9085,0.9562,0.1019
"SAVE","SAMPLE","success",NA,1,20510000,70,11.6029,9.0719,19.3998,-0.0322,-0.038,0.2908,0.0506
"SAVE","RIDGE","success",NA,1,185.6,70,11.6178,9.0767,19.419,-0.0348,-0.0406,0.1325,0.0758
"SAVE","OAS","success",NA,1,321.6,70,11.6226,9.0816,19.4287,-0.0357,-0.0415,0.1237,0.0529
"SAVE","LW","success",NA,1,361,70,11.6234,9.0824,19.4299,-0.0358,-0.0416,0.1229,0.0663
"SAVE","MEC","success",NA,1,10880000,70,11.6272,9.0873,19.4102,-0.0365,-0.0423,0.2291,0.0819
"DR","SAMPLE","success",NA,4,20510000,70,2.8422,2.2534,4.9864,0.9381,0.9367,0.9757,0.0793
"DR","RIDGE","success",NA,7,185.6,70,1.5611,1.2398,2.8294,0.9813,0.9806,0.9916,0.0784
"DR","OAS","success",NA,7,321.6,70,1.591,1.2453,2.809,0.9806,0.9798,0.991,0.0742
"DR","LW","success",NA,7,361,70,1.6039,1.2549,2.8228,0.9803,0.9795,0.9908,0.0938
"DR","MEC","success",NA,6,10880000,70,3.8484,3.0175,6.691,0.8865,0.8825,0.9503,0.0844
"PHD","SAMPLE","success",NA,7,20510000,70,7.623,6.0538,13.3432,0.5545,0.5363,0.7717,0.0463
"PHD","RIDGE","success",NA,5,185.6,70,7.0507,5.68,12.8176,0.6189,0.6079,0.7958,0.0771
"PHD","OAS","success",NA,5,321.6,70,7.2993,5.8649,13.2568,0.5915,0.5798,0.7786,0.0453
"PHD","LW","success",NA,5,361,70,7.351,5.9025,13.3469,0.5857,0.5738,0.7749,0.0624
"PHD","MEC","success",NA,7,10880000,70,8.7952,7.4023,16.5399,0.4069,0.3828,0.6526,0.0702
