"n","p","rho","sdr_method","n_success","mean_subspace_distance","sd_subspace_distance","mean_RMSE","sd_RMSE","mean_MAE","mean_R2","mean_Correlation","mean_condition_number","mean_effective_rank","mean_runtime_seconds"
100,50,0.5,"SIR",200,1.7998,0.063,2.3337,0.2996,1.798,-0.4149,0.0036,5.742,50,0.0312
100,50,0.8,"DR",200,1.8516,0.0631,2.3207,0.3962,1.7675,-0.4052,0.0053,51.27,50,0.0435
100,50,0.95,"DR",200,1.9243,0.0418,2.4654,0.7517,1.8576,-0.5318,-0.0143,512.5,50,0.0365
100,100,0.5,"SIR",200,1.8886,0.0392,2.3221,0.2426,1.7891,-0.3794,8e-04,4.449,100,0.054
100,100,0.8,"DR",200,1.9109,0.0379,2.3082,0.3262,1.7729,-0.3666,0.0193,37.33,100,0.1187
100,100,0.95,"DR",200,1.9545,0.0249,2.4848,0.562,1.8823,-0.6124,0.009,459.3,100,0.1113
100,200,0.5,"SIR",200,1.9432,0.0219,2.2381,0.2197,1.725,-0.2845,0.0053,3.391,200,0.146
100,200,0.8,"DR",200,1.9539,0.0189,2.3077,0.3119,1.7909,-0.3938,-0.0049,24.31,200,0.5827
100,200,0.95,"DR",200,1.974,0.0148,2.5276,0.4544,1.9353,-0.6116,0.0024,312.7,200,0.6435
200,50,0.5,"DR",200,1.6532,0.0971,2.203,0.2528,1.6709,-0.2131,-0.0106,7.641,50,0.0585
200,50,0.8,"DR",200,1.7797,0.084,2.3066,0.3576,1.749,-0.2893,-0.0015,70.51,50,0.0425
200,50,0.95,"DR",200,1.9108,0.0553,2.5214,0.8105,1.8616,-0.4971,0.0021,761.6,50,0.0384
200,100,0.5,"SIR",200,1.814,0.0465,2.3451,0.2008,1.8095,-0.4057,-0.0119,6.32,100,0.0663
200,100,0.8,"DR",200,1.8647,0.0468,2.3136,0.2801,1.7771,-0.375,0.0054,60.86,100,0.114
200,100,0.95,"DR",200,1.9459,0.0283,2.424,0.4931,1.8395,-0.4441,0.0123,830,100,0.1149
200,200,0.5,"SIR",200,1.896,0.0295,2.3337,0.1942,1.7967,-0.36,-0.0025,4.664,200,0.1556
200,200,0.8,"DR",200,1.919,0.0247,2.3447,0.2322,1.8087,-0.3897,0.0109,41.48,200,0.6644
200,200,0.95,"DR",200,1.9675,0.0171,2.4237,0.3534,1.8645,-0.5775,0.0109,610.4,200,0.7134
